제목,제작 비용 ($),북미 박스오피스 수익 ($),전세계 박스오피스 수익 ($),개봉 주말 수익 ($),상영 등급,장르,상영관 수,상영 시간,개봉 연도,영화 유형
Alexander,155000000,34297191.0,167297191.0,13687087.0,R,Action,2445.0,175.0,2004,0
War for the Planet of the Apes,152000000,146880162.0,489592267.0,56262929.0,PG-13,Action,4100.0,142.0,2017,2
Pearl Harbor,151500000,198539855.0,449239853.0,59078912.0,PG-13,Action,3255.0,182.0,2001,2
Transformers,151000000,319246193.0,708272592.0,70502384.0,PG-13,Action,4050.0,142.0,2007,2
Frozen II,150000000,477373578.0,1445182280.0,130263358.0,PG,Adventure,4440.0,103.0,2019,2
Wonder Woman,150000000,412563408.0,818058221.0,103251471.0,PG-13,Action,4165.0,141.0,2017,2
Frozen,150000000,400953009.0,1261788407.0,243390.0,PG,Musical,3742.0,102.0,2013,0
Zootopia,150000000,341268248.0,1004629935.0,75063401.0,PG,Adventure,3959.0,108.0,2016,2
Harry Potter and the Order of the Phoenix,150000000,292137260.0,939619849.0,77108414.0,PG-13,Adventure,4285.0,138.0,2007,2
Harry Potter and the Goblet of Fire,150000000,290201752.0,886746240.0,102685961.0,PG-13,Adventure,3858.0,150.0,2005,2
The Matrix Reloaded,150000000,281553689.0,738576929.0,91774413.0,R,Action,3603.0,138.0,2003,2
I am Legend,150000000,256393010.0,585532684.0,77211321.0,PG-13,Horror,3648.0,100.0,2007,2
Moana,150000000,248757044.0,631617146.0,56631401.0,PG,Musical,3875.0,113.0,2016,2
Hancock,150000000,227946274.0,624234272.0,62603879.0,PG-13,Action,3965.0,92.0,2008,2
Shang-Chi and the Legend of the Ten Rings,150000000,224543292.0,432243292.0,75388688.0,PG-13,Action,4300.0,132.0,2021,2
Charlie and the Chocolate Factory,150000000,206459076.0,475825484.0,56178450.0,PG,Adventure,3790.0,115.0,2005,2
Ratatouille,150000000,206445654.0,626549695.0,47027395.0,G,Adventure,3940.0,110.0,2007,2
Thor: The Dark World,150000000,206362140.0,644602516.0,85737841.0,PG-13,Action,3841.0,111.0,2013,2
Batman Begins,150000000,205343774.0,358858124.0,48745440.0,PG-13,Action,3858.0,140.0,2005,2
Mission: Impossible—Rogue Nation,150000000,195042377.0,688858992.0,55520089.0,PG-13,Action,3988.0,131.0,2015,2
Dunkirk,150000000,190068280.0,518058826.0,50513488.0,PG-13,Action,4014.0,107.0,2017,2
Thor,150000000,181030624.0,449326618.0,65723338.0,PG-13,Action,3963.0,113.0,2011,2
Madagascar: Escape 2 Africa,150000000,180174880.0,599680774.0,63106589.0,PG,Adventure,4065.0,89.0,2008,2
X-Men Origins: Wolverine,150000000,179883157.0,374825760.0,85058003.0,PG-13,Action,4102.0,107.0,2009,2
Night at the Museum: Battle of the Smithsonian,150000000,177243721.0,402231063.0,54173286.0,PG,Adventure,4101.0,105.0,2009,2
Kung Fu Panda 2,150000000,165249063.0,664837547.0,47656302.0,PG,Adventure,3952.0,90.0,2011,2
Mad Max: Fury Road,150000000,153636354.0,367457874.0,45428128.0,R,Action,3722.0,120.0,2015,2
Pokémon: Detective Pikachu,150000000,144105346.0,431344168.0,54365242.0,PG,Adventure,4248.0,104.0,2019,2
The Matrix Revolutions,150000000,139270910.0,427300260.0,48475154.0,R,Action,3502.0,129.0,2003,2
Ready Player One,150000000,137690172.0,579055653.0,41769050.0,PG-13,Adventure,4234.0,140.0,2018,2
Chicken Little,150000000,135386665.0,310043823.0,40049778.0,G,Adventure,3658.0,82.0,2005,2
Mission: Impossible III,150000000,133501348.0,399387745.0,47743273.0,PG-13,Action,4059.0,126.0,2006,2
Angels & Demons,150000000,133375846.0,490875846.0,46204168.0,PG-13,Thriller/Suspense,3527.0,138.0,2009,2
Troy,150000000,133298577.0,483152040.0,46865412.0,R,Action,3411.0,162.0,2004,2
The Last Airbender,150000000,131772187.0,319713881.0,40325019.0,PG,Adventure,3203.0,103.0,2010,2
Bee Movie,150000000,126631277.0,287594577.0,38021044.0,PG,Adventure,3984.0,90.0,2007,2
G-Force,150000000,119436770.0,292817841.0,31706934.0,PG,Adventure,3697.0,87.0,2009,0
Bolt,150000000,114053579.0,328015029.0,26223128.0,PG,Adventure,3654.0,96.0,2008,0
Encanto,150000000,96093622.0,230873149.0,27206494.0,PG,Adventure,3980.0,109.0,2021,0
Wrath of the Titans,150000000,83670083.0,305270083.0,33457188.0,PG-13,Adventure,3545.0,99.0,2012,0
Beowulf,150000000,82280579.0,195080579.0,27515871.0,PG-13,Adventure,3249.0,115.0,2007,0
Dark Shadows,150000000,79727149.0,238202668.0,29685274.0,PG-13,Black Comedy,3755.0,112.0,2012,0
White House Down,150000000,73103784.0,205440387.0,24852258.0,PG-13,Thriller/Suspense,3222.0,131.0,2013,0
Space Jam: A New Legacy,150000000,70592228.0,144003749.0,31053362.0,PG,Comedy,4002.0,115.0,2021,0
The Wolfman,150000000,62189884.0,142634358.0,31479235.0,R,Horror,3223.0,102.0,2010,0
The Great Wall,150000000,45157105.0,334486852.0,18469620.0,PG-13,Action,3328.0,104.0,2016,0
Pan,150000000,35088320.0,151525973.0,15315435.0,PG,Adventure,3515.0,111.0,2015,0
Mars Needs Moms,150000000,21392758.0,39549758.0,6914488.0,PG,Adventure,3117.0,88.0,2011,0
Moonfall,150000000,19060660.0,59049032.0,9868997.0,PG-13,Action,3446.0,124.0,2022,0
Red Notice,150000000,169611380.408,173638.0,54292057.0,PG-13,Action,3660.0,115.0,2021,2
6 Underground,150000000,169611380.408,469777564.92,54292057.0,R,Action,3660.0,128.0,2019,2
Flushed Away,149000000,64665672.0,179357126.0,18814323.0,PG,Adventure,3707.0,85.0,2006,0
Madagascar 3: Europe's Most Wanted,145000000,216391482.0,746921271.0,60316738.0,PG,Adventure,4263.0,85.0,2012,2
Mission: Impossible—Ghost Protocol,145000000,209397903.0,694713230.0,12785204.0,PG-13,Action,3555.0,132.0,2011,0
How to Train Your Dragon 2,145000000,177002924.0,614586270.0,49451322.0,PG,Adventure,4268.0,102.0,2014,0
Tarzan,145000000,171091819.0,448191819.0,34221968.0,G,Adventure,3131.0,88.0,1999,0
Mr. Peabody & Sherman,145000000,111506430.0,269806430.0,32207057.0,PG,Adventure,3951.0,91.0,2014,0
Rise of the Guardians,145000000,103412758.0,306900902.0,23773465.0,PG,Adventure,3672.0,97.0,2012,0
Sahara,145000000,68671925.0,121645390.0,18068372.0,PG-13,Adventure,3200.0,124.0,2005,0
Ghostbusters,144000000,128350574.0,229008658.0,46018755.0,PG-13,Comedy,3963.0,117.0,2016,0
Die Another Day,142000000,160942139.0,431942139.0,47072040.0,PG-13,Action,3377.0,133.0,2002,0
Star Trek,140000000,257730019.0,386839614.0,79204289.0,PG-13,Adventure,4053.0,125.0,2009,2
Armageddon,140000000,201578182.0,554600000.0,36089972.0,PG-13,Adventure,3184.0,150.0,1998,0
Men in Black 2,140000000,190418803.0,441767803.0,52148751.0,PG-13,Action,3641.0,86.0,2002,0
Captain America: The First Avenger,140000000,176654505.0,370569776.0,65058524.0,PG-13,Action,3715.0,124.0,2011,2
Kung Fu Panda 3,140000000,143528619.0,521170825.0,41282042.0,PG,Adventure,3987.0,94.0,2016,0
Lethal Weapon 4,140000000,130444603.0,285400000.0,34048124.0,R,Action,3117.0,127.0,1998,0
G.I. Joe: Retaliation,140000000,122523060.0,375740705.0,40501814.0,PG-13,Action,3734.0,110.0,2013,0
The Last Samurai,140000000,111110575.0,456810575.0,24271354.0,R,Action,2938.0,154.0,2003,0
Fun With Dick And Jane,140000000,110550000.0,203018919.0,14383515.0,PG-13,Comedy,3239.0,90.0,2005,0
Exodus: Gods and Kings,140000000,65014513.0,268314513.0,24115934.0,PG-13,Drama,3503.0,150.0,2014,0
The BFG,140000000,55483770.0,199646680.0,18775350.0,PG,Adventure,3392.0,115.0,2016,0
Gemini Man,140000000,48546770.0,166623705.0,20552372.0,PG-13,Action,3642.0,116.0,2019,0
Gods of Egypt,140000000,31153464.0,138836756.0,14123903.0,PG-13,Adventure,3117.0,127.0,2016,0
Spider-Man,139000000,403706375.0,821706375.0,114844116.0,PG-13,Adventure,3876.0,121.0,2002,2
Watchmen,138000000,107509799.0,186976250.0,55214334.0,R,Action,3611.0,161.0,2009,0
Stealth,138000000,32116746.0,76416746.0,13251545.0,PG-13,Action,3495.0,121.0,2005,0
The Incredible Hulk,137500000,134806913.0,265573859.0,55414050.0,PG-13,Adventure,3508.0,112.0,2008,0
Hulk,137000000,132177234.0,245031679.0,62128420.0,PG-13,Action,3674.0,138.0,2003,0
Final Fantasy: The Spirits Within,137000000,32131830.0,85131830.0,11408853.0,PG-13,Adventure,2649.0,106.0,2001,0
"The Twilight Saga: Breaking Dawn, Part 2",136200000,292324737.0,829724737.0,141067634.0,PG-13,Drama,4070.0,115.0,2012,1
The Croods,135000000,187168425.0,573068425.0,43639736.0,PG,Adventure,4065.0,98.0,2013,0
The Revenant,135000000,183637894.0,532938302.0,474560.0,R,Adventure,3711.0,156.0,2015,0
The World is Not Enough,135000000,126930660.0,361730660.0,35519007.0,PG-13,Action,3165.0,128.0,1999,0
