영화명,개봉 연도,상영 시간,상영 등급,장르,제작 비용 ($),개봉 주말 수익 ($),유형,북미 예상 수익 ($),전세계 예상 수익 ($)
인사이드 아웃 2,2024,96,전체 관람가,드라마,200000000,154200000,메가 블록버스터,465423498,1256643444
데드풀과 울버린,2024,128,청소년 관람 불가,액션,200000000,211430000,블록버스터,552855819,1492710711
바비,2023,114,12세 이상 관람가,어드벤처,145000000,162020000,미들 마켓,464629138,1254498671
슈퍼 마리오 브라더스,2023,92,전체 관람가,코미디,100000000,146360000,미들 마켓,441267020,1191420953
아바타: 물의 길,2022,192,12세 이상 관람가,어드벤처,350000000,134000000,메가 블록버스터,430378571,1162022143
탑건: 매버릭,2022,130,12세 이상 관람가,액션,170000000,160000000,블록버스터,465648940,1257252137
오펜하이머,2023,180,15세 이상 관람가,드라마,180000000,82000000,블록버스터,269978817,728942805
